id,file,side,step_length,stride_length,speed,gc_dur,stance,cadence,hs1_sec,hs2_sec,to_sec,start_frame,hs1_frame,hs2_frame,to_frame,slope,condition,height,weight,age
11,11_1F_2,Left,0.6533099254710593,1.2789237374661828,1.117940329952957,1.144,0.5979020979020978,102.6716680430241,0.132,1.276,0.816,31,33,319,204,-18,self-selected,180.0,76.0,23
11,11_1F_2,Right,0.5755314184275105,1.228805644988949,1.0893667065504866,1.128,0.6134751773049645,113.5680873367675,0.688,1.816,1.38,31,172,454,345,-18,self-selected,180.0,76.0,23
11,11_1K_3,Left,0.6985295569824648,1.338955146748644,1.1704153380669966,1.144,0.597902097902098,100.53249655945864,0.096,1.24,0.78,22,24,310,195,-18,constant,180.0,76.0,23
11,11_1K_3,Right,0.6996318835583303,1.3981486055157344,1.1848716995896051,1.1800000000000002,0.5932203389830508,101.61386815849586,0.66,1.84,1.36,22,165,460,340,-18,constant,180.0,76.0,23
11,11_2F_1,Left,0.6851204500784359,1.3035060668849077,1.1046661583770403,1.1800000000000002,0.583050847457627,96.74206848596384,0.136,1.316,0.824,32,34,329,206,-12,self-selected,180.0,76.0,23
11,11_2F_1,Right,0.6050667342771893,1.290138773758618,1.1121885980677744,1.16,0.593103448275862,110.28753045527031,0.728,1.888,1.416,32,182,472,354,-12,self-selected,180.0,76.0,23
11,11_2K_1,Left,0.6962110765107755,1.34789732219001,1.1619804501638018,1.16,0.617241379310345,100.14035881077947,0.096,1.256,0.812,22,24,314,203,-12,constant,180.0,76.0,23
11,11_2K_1,Right,0.6657508105787486,1.3619525822687162,1.2203876185203548,1.116,0.5985663082437277,109.9859826645454,0.688,1.804,1.356,22,172,451,339,-12,constant,180.0,76.0,23
11,11_3F_3,Left,0.7717327038119605,1.468113799317411,1.3493693008432084,1.088,0.5955882352941176,104.90958547004853,0.128,1.216,0.776,31,32,304,194,-6,self-selected,180.0,76.0,23
11,11_3F_3,Right,0.6761200384120104,1.4478463870364495,1.3307411645555602,1.088,0.5992647058823529,118.09215130032636,0.66,1.748,1.312,31,165,437,328,-6,self-selected,180.0,76.0,23
11,11_3K_1,Left,0.75723409609784,1.4605384359041098,1.2252839227383472,1.192,0.5973154362416108,97.08627192455674,0.116,1.308,0.828,27,29,327,207,-6,constant,180.0,76.0,23
11,11_3K_1,Right,0.6580845299217335,1.4153104926469084,1.1953635917625915,1.184,0.6081081081081081,108.98571877124267,0.708,1.892,1.428,27,177,473,357,-6,constant,180.0,76.0,23
11,11_4K_3,Left,0.7161243269898643,1.4171793063435822,1.1616223822488378,1.22,0.6065573770491803,97.32575798380432,0.084,1.304,0.824,20,21,326,206,0,constant,180.0,76.0,23
11,11_4K_3,Right,0.6803126708778426,1.3964337627620662,1.118937309905502,1.2479999999999998,0.6153846153846154,98.68438655963992,0.684,1.932,1.452,20,171,483,363,0,constant,180.0,76.0,23
13,13_1F_3,Left,0.6668355222849657,1.2814554977794954,1.0106115913087503,1.268,0.6182965299684543,90.93201164621298,0.1,1.368,0.884,23,25,342,221,-18,self-selected,192.0,78.0,26
13,13_1F_3,Right,0.7085669763001152,1.3753985789070218,1.051527965525246,1.308,0.6391437308868502,89.04123398603342,0.712,2.02,1.548,23,178,505,387,-18,self-selected,192.0,78.0,26
13,13_1K_2,Left,0.6838712508344229,1.3579680904671687,1.187035044114658,1.144,0.611888111888112,104.14548434369496,0.092,1.236,0.792,22,23,309,198,-18,constant,192.0,78.0,26
13,13_1K_2,Right,0.7071627805787041,1.3910254484548903,1.170896842133746,1.1880000000000002,0.6228956228956227,99.34602393883458,0.656,1.844,1.396,22,164,461,349,-18,constant,192.0,78.0,26
13,13_2F_3,Left,0.7010384233138741,1.3490803380617706,1.1167883593226575,1.208,0.6324503311258278,95.58292289117291,0.076,1.284,0.84,17,19,321,210,-12,self-selected,192.0,78.0,26
